id,value,location,sample date,measure
1011170,0.552,Achara,15-Jan-09,Ammonium
1011217,0.086,Achara,13-Feb-09,Ammonium
1011265,0.07,Achara,19-Mar-09,Ammonium
1011313,0.125,Achara,17-Apr-09,Ammonium
1011361,0.211,Achara,17-May-09,Ammonium
1011391,0.016,Achara,12-Jun-09,Ammonium
1011431,0.039,Achara,11-Jul-09,Ammonium
1011481,0.093,Achara,13-Aug-09,Ammonium
1011512,0.132,Achara,10-Sep-09,Ammonium
1011543,0.031,Achara,11-Oct-09,Ammonium
1011583,0.39,Achara,19-Nov-09,Ammonium
1011624,0.234,Achara,10-Dec-09,Ammonium
1328285,0.451,Achara,16-Jan-10,Ammonium
1328315,0.07,Achara,11-Feb-10,Ammonium
1328330,0.062,Achara,20-Feb-10,Ammonium
1328362,0.062,Achara,21-Feb-10,Ammonium
1328372,0.528,Achara,13-Mar-10,Ammonium
1328387,0.023,Achara,19-Mar-10,Ammonium
1328420,0.023,Achara,07-Apr-10,Ammonium
1328431,0.07,Achara,08-Apr-10,Ammonium
1328440,0.031,Achara,10-Apr-10,Ammonium
1328456,0.28,Achara,16-Apr-10,Ammonium
1328488,0.093,Achara,15-May-10,Ammonium
1328503,0.218,Achara,20-May-10,Ammonium
1328540,0.047,Achara,17-Jun-10,Ammonium
1328571,0.006,Achara,30-Jun-10,Ammonium
1328580,0.085,Achara,08-Jul-10,Ammonium
1328594,0.085,Achara,16-Jul-10,Ammonium
1328633,0.163,Achara,12-Aug-10,Ammonium
1328665,0.101,Achara,18-Aug-10,Ammonium
1328674,0.039,Achara,09-Sep-10,Ammonium
1328689,0.109,Achara,17-Sep-10,Ammonium
1328722,0.023,Achara,14-Oct-10,Ammonium
1328734,0.016,Achara,16-Oct-10,Ammonium
1328750,0.148,Achara,22-Oct-10,Ammonium
1328784,0.054,Achara,13-Nov-10,Ammonium
1328797,0.109,Achara,19-Nov-10,Ammonium
1328823,0.155,Achara,10-Dec-10,Ammonium
1328837,0.155,Achara,11-Dec-10,Ammonium
1617250,0.105,Achara,21-Jan-11,Ammonium
1617282,0.219,Achara,22-Jan-11,Ammonium
1617301,0.216,Achara,11-Feb-11,Ammonium
1617329,0.139,Achara,18-Feb-11,Ammonium
1617362,0.157,Achara,18-Mar-11,Ammonium
1617398,0.038,Achara,31-Mar-11,Ammonium
1617431,0,Achara,16-Apr-11,Ammonium
1617468,0.028,Achara,22-Apr-11,Ammonium
1617488,0.108,Achara,13-May-11,Ammonium
1617524,0.073,Achara,27-May-11,Ammonium
1617556,0.076,Achara,11-Jun-11,Ammonium
1617592,0.041,Achara,17-Jun-11,Ammonium
1617629,0.028,Achara,09-Jul-11,Ammonium
1617648,0,Achara,14-Jul-11,Ammonium
1617685,0.069,Achara,04-Aug-11,Ammonium
1617704,0.027,Achara,11-Aug-11,Ammonium
1617741,0,Achara,14-Sep-11,Ammonium
1617777,0,Achara,28-Sep-11,Ammonium
1617809,0.078,Achara,08-Oct-11,Ammonium
1617841,0.097,Achara,13-Oct-11,Ammonium
1617878,0.279,Achara,11-Nov-11,Ammonium
1617914,0.041,Achara,26-Nov-11,Ammonium
1617932,0.089,Achara,10-Dec-11,Ammonium
1617967,0.053,Achara,15-Dec-11,Ammonium
1967806,0.146,Achara,20-Jan-12,Ammonium
1967841,0.131,Achara,21-Jan-12,Ammonium
1967858,0.275,Achara,10-Feb-12,Ammonium
1967882,0.097,Achara,17-Feb-12,Ammonium
1967917,0.912,Achara,15-Mar-12,Ammonium
1967933,0.322,Achara,17-Mar-12,Ammonium
1967968,0,Achara,21-Apr-12,Ammonium
1968004,0,Achara,29-Apr-12,Ammonium
1968028,0,Achara,19-May-12,Ammonium
1968064,0.15,Achara,27-May-12,Ammonium
1968081,0.288,Achara,16-Jun-12,Ammonium
1968116,0.065,Achara,28-Jun-12,Ammonium
1968141,0.066,Achara,08-Jul-12,Ammonium
1968158,0.035,Achara,21-Jul-12,Ammonium
1968193,0,Achara,16-Aug-12,Ammonium
1968229,0,Achara,26-Aug-12,Ammonium
1968253,0,Achara,21-Sep-12,Ammonium
1968289,0.08,Achara,27-Sep-12,Ammonium
1968306,0.035,Achara,18-Oct-12,Ammonium
1968330,0.34,Achara,21-Oct-12,Ammonium
1968365,0.106,Achara,16-Nov-12,Ammonium
1968400,0.09,Achara,22-Nov-12,Ammonium
1968423,0.107,Achara,07-Dec-12,Ammonium
1968439,0.153,Achara,10-Dec-12,Ammonium
2166543,0.114,Achara,17-Jan-13,Ammonium
2166580,0,Achara,15-Feb-13,Ammonium
2166617,0.037,Achara,14-Mar-13,Ammonium
2166655,0.036,Achara,12-Apr-13,Ammonium
2166693,0.045,Achara,16-May-13,Ammonium
2166731,0.073,Achara,14-Jun-13,Ammonium
2166769,0.04,Achara,18-Jul-13,Ammonium
2166807,0.033,Achara,16-Aug-13,Ammonium
2166844,0.067,Achara,21-Sep-13,Ammonium
2166882,0,Achara,18-Oct-13,Ammonium
2166918,0.041,Achara,15-Nov-13,Ammonium
2166954,0.421,Achara,13-Dec-13,Ammonium
2567150,0.43,Achara,16-Jan-14,Ammonium
2567188,0.216,Achara,15-Feb-14,Ammonium
2567219,0,Achara,19-Mar-14,Ammonium
2567253,0.215,Achara,18-Apr-14,Ammonium
2567292,0.051,Achara,16-May-14,Ammonium
2567327,0.087,Achara,20-Jun-14,Ammonium
2567365,0.037,Achara,18-Jul-14,Ammonium
2567400,0,Achara,16-Aug-14,Ammonium
2567437,0.026,Achara,19-Sep-14,Ammonium
2567474,0.062,Achara,17-Oct-14,Ammonium
2567512,0.15,Achara,21-Nov-14,Ammonium
2567548,0.216,Achara,12-Dec-14,Ammonium
3385919,0.316,Achara,17-Jan-15,Ammonium
3385955,0,Achara,21-Feb-15,Ammonium
3385999,0.049,Achara,13-Mar-15,Ammonium
3386035,0.055,Achara,18-Apr-15,Ammonium
3386077,0.21,Achara,15-May-15,Ammonium
3386116,0.35,Achara,20-Jun-15,Ammonium
3386162,0.063,Achara,16-Jul-15,Ammonium
3386199,0.108,Achara,22-Aug-15,Ammonium
3386244,0.065,Achara,18-Sep-15,Ammonium
3386282,0.073,Achara,16-Oct-15,Ammonium
3386326,0.11,Achara,20-Nov-15,Ammonium
3386362,0.18,Achara,09-Dec-15,Ammonium
3283437,0.13,Achara,15-Jan-16,Ammonium
3283477,0.06,Achara,12-Feb-16,Ammonium
3283517,0.04,Achara,12-Mar-16,Ammonium
3283555,0.14,Achara,16-Apr-16,Ammonium
3283597,0.16,Achara,13-May-16,Ammonium
3283636,0.05,Achara,11-Jun-16,Ammonium
3283678,0.04,Achara,16-Jul-16,Ammonium
3283716,0.056,Achara,20-Aug-16,Ammonium
3283760,0.078,Achara,16-Sep-16,Ammonium
3283798,0.089,Achara,22-Oct-16,Ammonium
3283841,0.11,Achara,19-Nov-16,Ammonium
3283878,0.11,Achara,10-Dec-16,Ammonium
